Ключ;Название;Приоритет;Статус;Обновлено;Создано;Описание;Метки
CRFLOMNIL-1452;Добавление прав на неймcпейсы в k8s;Высокий;Выполнено;30.04.2025;16.04.2025;"<p>Добрый день, после переезда в клауд нет под в кубере на деве.&nbsp; Контур дев.<br />https://console.apps.dk1-ppcf01.innodev.local/k8s/all-namespaces/core~v1~Pod<br />неймспейсы:<br />ingress-dk1-ppcf01-ppcf-001</p>
<p>dk1-ppcf01-ppcf-2051-dev</p>
<p>dk1-ppcf01-ppcf-crpr</p>
<p>dk1-ppcf01-ppcf-grcr</p>
<p>dk1-ppcf01-ppcf-acrp</p>
<p>dk1-ppcf01-ppcf-ppea</p>
<p>dk1-ppcf01-ppcf-casf</p>
<p>dk1-ppcf01-ppcf-devbar-ppcf-tech<br />dk1-ppcf01-ppcf-devbar-casf-tech</p>";devops_cloud_доступ,devops_support
CRFLOMNIL-1451;КОПИЯ  Добавление прав на неймcпейсы в k8s;Средний;Закрыто;16.04.2025;16.04.2025;"<p>На VDI при запуске Кубера по ссылке к примеру: https://console.apps.ik7-kube04.test.vtb.ru/k8s/ns/ifk8s-ppcf-42e3d9-if-c-prod-processor/core~v1~Pod&nbsp;<br />Открывается старница, но список PODов - пустой<br />Просьба предоставить права на неимпейсы:<br />ifk8s-ppcf-42e3d9-if-c-prod-processor<br />ifk8s-casf-af812c-casf<br /><br />Контур IFT<br />логин vtb4114612</p>";devops_cloud_доступ,devops_support
CRFLOMNIG-1429;Доступ к Кубернету 1830 на ИФТ;Средний;Выполнено;16.04.2025;16.04.2025;"<p>Необходимо дать доступ к кубернету на 1830 на стнеде ИФТ</p>
<p>Сегмент 1:</p>
<p>https://console.apps.ik5-kube01.test.vtb.ru/</p>
<p>Сегмент 2:</p>
<p>https://console.apps.ik7-kube04.test.vtb.ru/&nbsp;</p>
<p>для</p>
<p>Гунжафова Радима Владимировна (vtb4116273)</p>";devops_support,devops_cloud_доступ
CRFLOMNIH-3600;T1 PPEA. Автотесты.;Средний;Выполнено;16.04.2025;16.04.2025;"<p>Добрый день, в связи с тем, что мы переехали c corp.dev на т1, билд и деплой происходят теперь на т1, следовательно нужно как-то перенести автотесты.&nbsp;<br />Джоба с такими параметрами не работает:<br />https://sfera.inno.local/orchestration3/dashboard/ACRP/project/9ead23cc-0f96-4f9b-a189-47e84cd1ff21/builds/1065799</p>";devops_support,devops_инструменты,devops_консультация
CRFLOMNIL-1450;Доступ к Cloud.VTB Kubernetes;Средний;Закрыто;28.04.2025;16.04.2025;"<p>Прошу предоставить доступ к Доступ к следующим namespace в Kubernetes на контуре innodev.</p>
<p>&nbsp;</p>
<p>dk1-ppcf01-ppcf-2051-dev<br />dk1-ppcf01-ppcf-acrp<br />dk1-ppcf01-ppcf-casf<br />dk1-ppcf01-ppcf-crpr<br />dk1-ppcf01-ppcf-dbzm-dev-t1<br />dk1-ppcf01-ppcf-devbar-acrp-tech<br />dk1-ppcf01-ppcf-devbar-crpr-tech<br />dk1-ppcf01-ppcf-devbar-grcr-tech<br />dk1-ppcf01-ppcf-devbar-ppcf-common<br />dk1-ppcf01-ppcf-devbar-ppcf-s01<br />dk1-ppcf01-ppcf-devbar-ppcf-tech<br />dk1-ppcf01-ppcf-devbar-ppea-s01<br />dk1-ppcf01-ppcf-devbar-ppea-tech<br />dk1-ppcf01-ppcf-grcr<br />dk1-ppcf01-ppcf-ppea</p>
<p>&nbsp;</p>
<p>Ссылка на кубернетес: https://console.apps.dk1-ppcf01.innodev.local/k8s/ns/dk1-ppcf01-ppcf-2051-dev/core~v1~Pod<br />Номер ИС: 2199</p>
<p>Стенд: innodev</p>
<p>Логин: RBadretdinov_sb (логин на Т1)&nbsp;</p>
<p>&nbsp;</p>
<p>Номер ИС: 2199</p>
<p>В vtb:</p>
<p>Амортизация<br />https://console.apps.ik5-kube01.test.vtb.ru/<br />https://console.apps.ik7-kube04.test.vtb.ru/<br />&nbsp;<br />Покупка и продажа<br />https://console.apps.ik7-kube03.test.vtb.ru/&nbsp;</p>
<p>&nbsp;</p>
<p>Стенд: ИФТ</p>
<p>Логин: vtb4110990@region.vtb.ru</p>
<p>&nbsp;</p>
<p>&nbsp;</p>";devops_support,devops_cloud_доступ
CRFLOMNIL-1449;Доступ к бд по порту 5434;Высокий;Выполнено;16.04.2025;16.04.2025;<p>Прошу предоставить доступ к бд dvppcf-00pgp006.innodev.local по порту 5434</p>;devops_консультация,devops_support
CRFLOMNIE-1320;DevOps. Не билдится релиз grcr-plan;Критический;Выполнено;16.04.2025;16.04.2025;"<p>Сервис - grcr-plan</p>
<p>Контур - CI ???</p>
<p>Не проходит сборка нового релиза. Отваливается по ошибке https://ms-registry.ppcf.oslb-dev01.corp.dev.vtb/api/v1/registry/microservices/grcr/grcr-plan"": dial tcp 10.243.76.122:443: i/o timeout</p>
<p>&nbsp;</p>
<p>Ссылка на джобу https://sfera.inno.local/orchestration3/dashboard/GRCR/project/93e57c19-29f6-4313-ade6-27dd321d2754/builds/1066755</p>
<p>&nbsp;</p>
<p>Напоминаю, что в нашем сервисе проходит пилот по автоверсионированию, поэтому релиз мы должны собирать именно из корня DEVOPS, а не CI</p>";devops_support,devops_инструменты
CRFLOMNIE-1318;Ошибка QualityGateSonar;Высокий;Выполнено;16.04.2025;16.04.2025;"<p>Ошибка QualityGateSonar при build pull request в 2201 &nbsp;grcr-plan-orchestrator.<br />ERROR: SonarQube server [http://10.147.99.5:8080] can not be reached.<br />Также отстутствуют ветки develop в Sonar для grcr-plan-orchestrator и grcr-plan<br /><br /><br /><br /></p>";devops_support,devops_консультация
CRFLOMNII-1790;LiquibaseQualityGate ppcf-ifrs;Высокий;Закрыто;23.04.2025;16.04.2025;"<p>Добрый день!<br /><br />Просьюа подсказать по ошибке в&nbsp;<br /><br />https://sfera.inno.local/orchestration7/dashboard/PPCF/project/ff41f4c2-f57b-497d-9353-effc3f415255/builds/657402<br /><br /><br /></p>";devops_support,devops_консультация
CRFLOMNII-1789;Получить доступ в t1.cloud - DEV;Высокий;Закрыто;27.04.2025;16.04.2025;"<p>2199 dev</p>
<p>прикладной админ</p>
<p>vtb4111483 evegorov@inno.tech</p>
<p>&nbsp;</p>
<p>Могу попросить доступ к куберу на дев контуре, и консоли Т1(Облако)</p>
<p>&nbsp;</p>
<p>Это группы куда меня добавляли по заявке в инно сапорт:&nbsp;</p>
<p>in-gsu-ris_2199_Administrator<br />in-gsu-ris_2199_User</p>
<p>&nbsp;</p>
<p>Пространство в консоли Т1: 2882_dv&nbsp;</p>";devops_cloud_доступ,devops_support
CRFLOMNIL-1448;Таймаут при доступе к console.apps.dk1-ppcf01.innodev.local;Средний;Выполнено;30.04.2025;16.04.2025;"<p>Не могу зайти на новый кубер.&nbsp;</p>
<p><br />Под Инно впн выдает следующую ошибку:<br />""Не удается открыть эту страницу<br />console.apps.dk1-ppcf01.innodev.local ожидание ответа заняло слишком много времени""<br /><br />Под ext vpn или совсем без впн - пишет ""не удалось найти IP-адрес сервера"".<br /><br />Flush dns, другой браузер и инкогнито мод проблему не решили.</p>
<p>Права на доступ к неймспейсам были выданы в рамках заявки CRFLOMNIL-1443</p>";devops_support,devops_cloud_доступ,devops_консультация
CRFLOMNIB-2083;Доступы в облако T1;Средний;Закрыто;19.05.2025;16.04.2025;"<p>Прошу выдать доступ в раздел кафки для создания топиков и выдачи ACL и доступ к разделу с ДБ (по возможности доступы по аналогии с клаудом )<br />https://console.privatecloud.inno.tech/saas/orders?page=0&amp;perPage=10&amp;f[category_v2]=saas&amp;f[status][]=success&amp;f[status][]=changing&amp;f[status][]=damaged&amp;f[status][]=pending&amp;f[status][]=locked&amp;f[status][]=hold&amp;f[status][]=maintenance&amp;context=proj-b74e3h714c7rs9h&amp;type=project&amp;org=org-g4bcqzi7<br /><br />ACRP, PPCF<br />vtb4110578<br />dev, CDL<br />роль: Наблюдатель, Администратор<br /><br /></p>";devops_support,devops_cloud_доступ
CRFLOMNIG-1428;Добавление сертификатов ЦФТ Loans в топик кафки;Высокий;Выполнено;16.04.2025;16.04.2025;"<p>Необходимо добавить сертификаты в топики кафки от ЦФТ Loans</p>
<p>&nbsp;</p>
<p>Кафка от 1830 для стендов Дев и ИФТ.</p>
<p>Топики pub.cftl.crpr.payment-events.rq.v1 и pub.crpr.cftl.payment-events.rs.v1</p>
<p>Сертификат ИФТ: CN=APD25.03-1366-kafka-if-client-rtll,OU=MSG,O=VTB Bank,C=RU&nbsp;</p>";devops_support
CRFLOMNIL-1447;Не могу подключиться к бд на t1cloud;Высокий;Выполнено;16.04.2025;16.04.2025;"<p>Старая точка подключения<br />Хост: d5rtll-pgc004lk.corp.dev.vtb Порт: 5434 БД: ppdb_osrf Пользователь: ppdb_osrf_admin Пароль:xginOEcBlo68<br /><br />По ссылке https://sfera.inno.local/knowledge/pages?id=1524070 нашел новый хост dvppcf-00pgp006.innodev.local<br /><br />Заменив старый хост на новый подключиться не удалось<br /><br />Прошу прислать актуальные данные&nbsp;</p>";devops_консультация,devops_support
CRFLOMNII-1787;Ошибка деплоя на devbar;Средний;Выполнено;17.04.2025;16.04.2025;"<p>Не удается установить сервис на девбарьер.</p>
<p>https://sfera.inno.local/orchestration3/dashboard/PPEA/project/ece366ba-dcce-4d29-adfe-01a9ced23c0d/builds/1065445</p>
<p>Возможно вот эта ошибка ключевая:<br /><strong>[2025-04-16 08:01:44.482] STDERR: 0964[2025-04-16 08:01:44.482] Error: Kubernetes cluster unreachable: Get ""https://api.dk1-ppcf01.innodev.local:8443/version"": dial tcp 10.147.100.153:8443: i/o timeout</strong></p>";devops_support,devops_консультация
